ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,label
0,1.0,0.0,1.0,179.0,99.0,99.0,139.0,74.5822,301.059,53.6656,8.5586,2.8284,99.0,99.0,0.0,0.0,0.0,99.0,0.1788,0.3583,0.0132,7.0,2.0,2.0,0.0
1,1.0,0.0,1.0,298.0,258.0,258.0,239.0,181.8275,135.3403,179.4714,36.1697,40.1404,338.0,112.6667,3.0,5290.0,0.0,0.0,0.4355,0.3375,0.0458,5.0,2.0,4.0,2.0
2,1.0,1.0,1.0,99.0,139.0,139.0,159.0,83.0692,187.6926,149.9667,87.7055,70.5018,139.0,139.0,0.0,0.0,1.0,2442.0,0.0762,0.1167,0.02,8.0,6.0,1.0,2.0
3,1.0,1.0,0.0,238.0,139.0,139.0,258.0,248.3948,505.5022,231.0,26.0,36.3077,139.0,139.0,1.0,397.0,0.0,0.0,0.2176,0.3791,0.0139,5.0,8.0,5.0,1.0
4,1.0,1.0,0.0,358.0,179.0,179.0,219.0,127.8251,117.0438,44.0114,88.844,50.6211,179.0,179.0,0.0,0.0,0.0,0.0,0.2923,0.2908,0.0539,3.0,1.0,3.0,0.0
5,1.0,1.0,0.0,199.0,139.0,139.0,139.0,72.1405,152.5664,29.7321,57.1161,65.5515,139.0,139.0,0.0,0.0,0.0,0.0,0.1245,0.1325,0.0174,5.0,1.0,4.0,1.0
6,1.0,0.0,1.0,179.0,179.0,179.0,219.0,110.6368,476.607,42.19,66.6202,73.4456,219.0,219.0,1.0,2248.0,0.0,0.0,0.1135,0.0135,0.0113,9.0,2.0,6.0,0.0
7,1.0,1.0,1.0,0.0,179.0,179.0,179.0,402.8613,189.7215,446.5087,42.1011,43.1567,199.0,199.0,0.0,0.0,0.0,0.0,0.1196,0.2356,0.0179,5.0,6.0,1.0,1.0
8,1.0,0.0,1.0,159.0,100.0,100.0,179.0,141.1072,212.9519,241.085,113.2828,113.9397,100.0,100.0,0.0,0.0,0.0,100.0,0.2163,0.3843,0.0209,7.0,1.0,3.0,0.0
9,1.0,1.0,0.0,99.0,159.0,159.0,99.0,332.6718,138.5442,391.4805,58.5769,58.0022,159.0,159.0,0.0,0.0,0.0,0.0,0.2938,0.3358,0.0143,4.0,9.0,1.0,0.0
10,2.0,1.0,0.0,119.0,99.0,278.0,99.0,81.0555,377.2618,56.3205,34.5398,37.3965,278.0,139.0,0.0,0.0,0.0,278.0,0.2332,0.1912,0.0358,9.0,9.0,5.0,2.0
11,1.0,1.0,0.0,219.0,139.0,139.0,278.0,311.137,182.5829,408.2707,98.5203,103.1213,139.0,139.0,1.0,358.0,0.0,737.0,0.0895,0.147,0.0175,5.0,7.0,3.0,1.0
12,1.0,1.0,1.0,139.0,199.0,199.0,139.0,381.5659,89.0126,398.2123,20.1804,38.2655,159.0,159.0,1.0,2306.0,0.0,3040.0,-0.0154,0.0316,0.0095,7.0,3.0,2.0,0.0
13,1.0,1.0,0.0,80.0,219.0,219.0,99.0,161.4102,644.6877,126.0159,41.1825,38.6588,219.0,219.0,0.0,0.0,0.0,0.0,-0.0453,0.0647,0.026,8.0,5.0,8.0,1.0
14,1.0,0.0,1.0,139.0,139.0,139.0,398.0,130.6379,633.6981,62.6498,77.9567,82.5969,159.0,159.0,3.0,11507.0,1.0,358.0,0.006,0.091,0.0098,5.0,5.0,5.0,2.0
15,1.0,1.0,1.0,139.0,139.0,139.0,179.0,303.5103,442.1892,100.2247,216.9067,215.4652,219.0,219.0,2.0,1373.0,0.0,298.0,0.1883,0.1883,0.0278,4.0,1.0,4.0,2.0
16,1.0,1.0,0.0,139.0,179.0,179.0,795.0,199.7029,0.0,138.5208,67.2402,67.3146,179.0,179.0,0.0,0.0,0.0,0.0,0.3402,0.3402,0.0129,4.0,10.0,4.0,0.0
17,2.0,1.0,0.0,219.0,80.0,179.0,80.0,241.5626,165.1484,158.455,83.5135,39.6011,398.0,199.0,0.0,0.0,1.0,0.0,0.1807,0.2767,0.0396,8.0,3.0,6.0,2.0
18,1.0,1.0,1.0,119.0,99.0,99.0,99.0,212.397,0.0,185.0432,27.6586,20.0811,199.0,99.5,1.0,1153.0,1.0,199.0,0.0811,0.0811,0.0393,3.0,4.0,2.0,2.0
19,2.0,1.0,1.0,119.0,199.0,477.0,179.0,73.5153,104.5108,109.0183,35.5,51.0392,179.0,179.0,0.0,0.0,1.0,179.0,0.2037,0.2142,0.0067,7.0,1.0,1.0,1.0
20,1.0,1.0,0.0,139.0,179.0,179.0,99.0,155.6767,59.5336,130.1883,15.0416,13.1244,179.0,179.0,1.0,99.0,0.0,0.0,-0.0505,0.0825,0.0315,3.0,4.0,3.0,0.0
21,1.0,0.0,0.0,139.0,100.0,100.0,139.0,146.4283,147.7921,208.6337,85.8429,93.5361,100.0,100.0,1.0,2266.0,0.0,300.0,0.0141,0.1251,0.0067,7.0,5.0,2.0,1.0
22,1.0,1.0,0.0,179.0,100.0,100.0,99.0,184.1962,146.6024,124.1451,63.5,60.2516,100.0,100.0,0.0,0.0,0.0,0.0,-0.0165,0.1465,0.0085,6.0,5.0,3.0,1.0
23,1.0,1.0,0.0,179.0,219.0,219.0,179.0,736.4077,65.0019,758.1484,63.869,4.9244,219.0,219.0,1.0,199.0,0.0,259.0,1.8894,1.8894,0.0178,9.0,9.0,3.0,2.0
24,1.0,1.0,1.0,239.0,119.0,119.0,99.0,742.8879,139.23,720.3811,37.977,28.2179,119.0,119.0,0.0,0.0,0.0,476.0,0.1819,0.1819,0.0156,8.0,9.0,1.0,0.0
25,1.0,1.0,0.0,119.0,100.0,100.0,159.0,112.9436,182.6342,68.1836,55.3263,70.5443,100.0,100.0,0.0,0.0,0.0,0.0,0.1492,0.1477,0.0194,5.0,3.0,2.0,0.0
26,1.0,1.0,0.0,139.0,179.0,179.0,99.0,84.22,189.1593,161.4001,88.7426,84.2511,179.0,179.0,0.0,0.0,0.0,0.0,0.0591,0.3061,0.0201,8.0,6.0,1.0,1.0
27,2.0,0.0,0.0,219.0,119.0,218.0,219.0,425.0238,514.3953,429.0186,5.2202,77.682,218.0,109.0,0.0,0.0,0.0,0.0,0.1396,0.1396,0.0336,5.0,5.0,5.0,0.0
28,1.0,1.0,1.0,119.0,99.0,99.0,139.0,363.0158,233.1051,481.7074,119.7132,94.5846,99.0,99.0,0.0,0.0,1.0,575.0,0.1569,0.4074,0.0205,3.0,4.0,1.0,2.0
29,1.0,0.0,0.0,139.0,219.0,219.0,100.0,134.3503,115.5097,109.6586,27.5045,35.5879,219.0,219.0,0.0,0.0,0.0,0.0,0.0996,0.2116,0.0197,4.0,2.0,3.0,1.0
30,1.0,1.0,0.0,159.0,199.0,199.0,139.0,247.5727,719.9905,198.6454,50.6211,53.7331,199.0,199.0,0.0,0.0,0.0,0.0,-0.0018,0.1787,0.0169,7.0,1.0,7.0,0.0
31,1.0,1.0,0.0,298.0,239.0,239.0,179.0,204.4798,181.0559,154.6351,49.5202,47.2652,239.0,239.0,0.0,0.0,0.0,0.0,0.1321,0.4721,0.0373,3.0,6.0,3.0,0.0
32,1.0,1.0,0.0,139.0,139.0,139.0,139.0,56.5354,701.428,16.4924,38.5032,49.5,139.0,139.0,0.0,0.0,0.0,0.0,0.1946,0.1896,0.0133,7.0,1.0,7.0,1.0
33,1.0,1.0,0.0,219.0,99.0,99.0,80.0,66.7308,225.2521,89.4986,44.0114,67.4036,99.0,99.0,0.0,0.0,0.0,0.0,0.0007,0.2482,0.0106,7.0,8.0,1.0,0.0
34,1.0,0.0,1.0,139.0,179.0,179.0,119.0,201.446,136.8804,66.4831,136.0331,127.5627,179.0,179.0,0.0,0.0,0.0,358.0,0.1014,0.1059,0.023,6.0,8.0,5.0,0.0
35,1.0,1.0,0.0,219.0,179.0,179.0,119.0,258.5595,542.2458,154.0292,139.7507,131.0439,179.0,179.0,0.0,0.0,1.0,0.0,0.273,0.534,0.0255,7.0,1.0,7.0,0.0
36,1.0,1.0,0.0,298.0,219.0,219.0,179.0,1236.1789,174.8156,13.6015,70.6417,76.6322,219.0,219.0,0.0,0.0,0.0,0.0,0.278,0.6975,0.0362,5.0,9.0,2.0,1.0
37,2.0,0.0,1.0,358.0,99.0,179.0,219.0,209.0096,143.2,168.8579,28.3769,34.3984,179.0,89.5,0.0,0.0,0.0,139.0,0.1626,0.1401,0.0222,8.0,4.0,3.0,2.0
38,1.0,1.0,0.0,139.0,199.0,199.0,199.0,60.2536,105.0774,98.0459,40.5123,40.6079,199.0,199.0,0.0,0.0,1.0,199.0,0.0374,0.1289,0.0365,3.0,3.0,1.0,0.0
39,1.0,1.0,1.0,0.0,99.0,99.0,80.0,97.1043,0.0,24.2074,92.339,25.5196,318.0,159.0,1.0,1094.0,1.0,2266.0,0.2482,0.2407,0.0456,7.0,1.0,2.0,2.0
40,1.0,1.0,0.0,99.0,80.0,80.0,0.0,55.3195,0.0,121.4907,75.6257,52.1464,80.0,80.0,0.0,0.0,0.0,0.0,0.356,0.356,0.0672,4.0,7.0,1.0,0.0
41,1.0,1.0,1.0,80.0,80.0,80.0,119.0,319.188,461.0043,389.4522,74.2428,78.3534,80.0,80.0,0.0,0.0,0.0,952.0,0.197,0.4915,0.0054,8.0,8.0,1.0,1.0
42,1.0,1.0,1.0,139.0,219.0,219.0,318.0,171.1213,86.6631,256.3299,99.6017,105.245,219.0,219.0,1.0,537.0,0.0,0.0,-0.0512,0.0438,0.0336,6.0,1.0,1.0,0.0
43,1.0,1.0,0.0,80.0,80.0,80.0,119.0,449.2029,256.5448,400.3199,55.7584,71.2215,80.0,80.0,0.0,0.0,0.0,0.0,0.0854,0.1989,0.0163,5.0,2.0,4.0,1.0
44,1.0,1.0,1.0,0.0,139.0,139.0,80.0,201.5589,96.6566,295.2033,83.3607,75.2396,139.0,139.0,0.0,0.0,0.0,278.0,0.2192,0.4172,0.0179,7.0,2.0,1.0,1.0
45,1.0,1.0,0.0,20.0,299.0,299.0,179.0,163.233,71.6415,149.7531,27.8298,34.3984,299.0,299.0,0.0,0.0,1.0,299.0,0.7661,-0.3694,0.0267,8.0,3.0,2.0,0.0
46,1.0,1.0,0.0,119.0,238.0,238.0,119.0,135.8538,85.6461,154.4345,49.5101,55.4301,238.0,238.0,0.0,0.0,0.0,0.0,0.2719,0.2254,0.0204,5.0,3.0,1.0,0.0
47,1.0,1.0,0.0,99.0,99.0,99.0,99.0,134.0121,199.6509,105.0428,49.7695,37.9012,99.0,99.0,0.0,0.0,0.0,0.0,-0.0665,0.237,0.0177,8.0,9.0,3.0,1.0
48,1.0,1.0,1.0,80.0,219.0,219.0,139.0,848.5664,0.0,880.355,39.5127,40.5247,457.0,457.0,0.0,0.0,0.0,457.0,0.069,0.069,0.039,7.0,10.0,1.0,2.0
49,1.0,0.0,1.0,179.0,20.0,20.0,219.0,471.7648,251.739,658.0615,190.217,189.0846,20.0,20.0,2.0,598.0,0.0,40.0,1.2187,1.7507,0.0018,5.0,9.0,2.0,2.0
50,1.0,1.0,0.0,140.0,159.0,159.0,219.0,195.0103,71.9253,297.1397,80.114,68.1561,199.0,199.0,3.0,2152.0,1.0,2051.0,0.734,0.7725,0.005,5.0,6.0,3.0,1.0
51,1.0,1.0,0.0,99.0,179.0,179.0,219.0,125.5488,39.0032,132.1855,6.6708,30.8423,179.0,179.0,1.0,418.0,0.0,577.0,0.0259,0.0524,0.02,6.0,3.0,5.0,1.0
52,1.0,1.0,1.0,319.0,279.0,279.0,180.0,234.2845,87.1436,339.507,60.6671,55.0318,219.0,219.0,1.0,757.0,0.0,0.0,1.9266,3.2536,0.0369,5.0,8.0,1.0,2.0
53,1.0,1.0,0.0,239.0,258.0,258.0,139.0,668.9516,186.0168,772.6895,112.1985,123.6982,258.0,258.0,0.0,0.0,0.0,596.0,0.145,0.1965,0.0337,4.0,2.0,1.0,2.0
